titulo,ano,mes,dia
Percy Jackson e o Ladrão de Raios,2021,Janeiro,01
Pai em Dose Dupla,2021,Janeiro,04
Turma da Mônica: Laços,2021,Janeiro,05
Hotel Transilvânia 2,2021,Janeiro,06
O Diário da Princesa,2021,Janeiro,07
Stardust: O Mistério da Estrela,2021,Janeiro,08
Férias da Família Johnson,2021,Janeiro,11
Os Pinguins do Papai,2021,Janeiro,12
Shrek 2,2021,Janeiro,13
Sonhos de Papel,2021,Janeiro,14
Miss Simpatia,2021,Janeiro,15
Enrolados,2021,Janeiro,18
Super Escola de Heróis,2021,Janeiro,19
Rio 2,2021,Janeiro,20
Virada Radical,2021,Janeiro,21
As Viagens de Gulliver,2021,Janeiro,22
Operação Big Hero,2021,Janeiro,25
Nanny McPhee e as Lições Mágicas,2021,Janeiro,26
Jogador Nº 1,2021,Janeiro,27
Gente Grande 2,2021,Janeiro,28
Os Smurfs 2,2021,Janeiro,29
Tudo Por um Popstar,2021,Fevereiro,01
Megamente,2021,Fevereiro,02
MIB: Homens de Preto 2,2021,Fevereiro,03
Cegonhas: A História Que Não Te Contaram,2021,Fevereiro,04
Bater ou Correr,2021,Fevereiro,05
Monstros Vs. Alienígenas,2021,Fevereiro,08
É Fada,2021,Fevereiro,09
Fora do Rumo,2021,Fevereiro,10
Patrick,2021,Fevereiro,11
Tá Chovendo Hambúrguer 2,2021,Fevereiro,12
Procurando Nemo,2021,Fevereiro,15
As Férias do Pequeno Nicolau,2021,Fevereiro,16
Alice Através do Espelho,2021,Fevereiro,17
Um Tira no Jardim de Infância 2,2021,Fevereiro,18
Casamento Grego 2,2021,Fevereiro,19
Incontrolável,2021,Fevereiro,22
Amor ao Acaso,2021,Fevereiro,23
Um Senhor Estagiário,2021,Fevereiro,24
Quarteto Fantástico,2021,Fevereiro,25
Muito Bem Acompanhada,2021,Fevereiro,26
Quatro Vidas de um Cachorro,2021,Março,01
Em Meus Sonhos,2021,Março,02
"Dois é Bom, Três é Demais",2021,Março,03
O Túnel,2021,Março,04
Jogo de Amor em Las Vegas,2021,Março,05
Joy: O Nome do Sucesso,2021,Março,08
Roubo nas Alturas,2021,Março,09
Romeu e Julieta,2021,Março,10
Sem Reservas,2021,Março,11
Amor ao Primeiro Filho,2021,Março,12
Uma Prova de Amor,2021,Março,15
Portal dos Guerreiros,2021,Março,16
Megan Leavey,2021,Março,17
"Corina, uma Babá Perfeita",2021,Março,18
Encontro de Casais,2021,Março,19
O Melhor Amigo da Noiva,2021,Março,22
A Última Palavra,2021,Março,23
Hitch: Conselheiro Amoroso,2021,Março,24
O Último Mestre do Ar,2021,Março,25
Arthur: O Milionário Irresistível,2021,Março,26
O Que Esperar Quando Você Está Esperando,2021,Março,29
A Fabulosa Gilly Hopkins,2021,Março,30
O Dilema,2021,Março,31
A Ressurreição de Gavin Stone,2021,Abril,01
Shrek Para Sempre,2021,Abril,02
Vovó... Zona 2,2021,Abril,05
Um Bom Partido,2021,Abril,06
Táxi,2021,Abril,07
Onde Nasce a Esperança,2021,Abril,08
Lara Croft: Tomb Raider - A Origem da Vida,2021,Abril,09
Intocáveis ,2021,Abril,12
Licença Para Casar,2021,Abril,13
Mãos Talentosas: A História de Ben Carson,2021,Abril,14
Uma Manhã Gloriosa,2021,Abril,15
Bater ou Correr em Londres,2021,Abril,16
Sully: O Herói do Rio Hudson,2021,Abril,19
Brooklin: Um Amor Sem Fronteiras,2021,Abril,20
Toy Story 3,2021,Abril,21
Jurassic Park: Parque dos Dinossauros,2021,Abril,22
A Teoria de Tudo,2021,Abril,23
Crô em Família,2021,Abril,26
A Feiticeira,2021,Abril,27
Beleza Oculta,2021,Abril,28
A Sogra,2021,Abril,29
O Aprendiz de Feiticeiro,2021,Abril,30
O Medalhão,2021,Maio,03
"Loucas Por Amor, Viciadas em Dinheiro",2021,Maio,04
X-Men: Primeira Classe,2021,Maio,05
Tá Chovendo Hambúrger,2021,Maio,06
Linda de Morrer,2021,Maio,07
Paixão de Aluguel,2021,Maio,10
O Impossível,2021,Maio,11
Meu Namorado é o Bicho,2021,Maio,12
Idas e Vindas do Amor,2021,Maio,13
Viagem ao Centro da Terra: O Filme,2021,Maio,14
Invictus,2021,Maio,17
A Vingança das Damas de Honra,2021,Maio,18
Encontro de Amor,2021,Maio,19
Um Homem de Família,2021,Maio,20
Entrando Numa Fria Maior Ainda,2021,Maio,21
Noites de Tormenta,2021,Maio,24
Lanterna Verde,2021,Maio,25
Fazenda dos Cisnes,2021,Maio,26
O Amor Dá Trabalho,2021,Maio,27
Resgate Abaixo de Zero,2021,Maio,28
A Morte e Vida de Charlie,2021,Maio,31
Pare o Casamento!,2021,Junho,01
Uma Amizade Inesperada,2021,Junho,02
Depois da Terra,2021,Junho,03
Maria do Caritó,2021,Junho,04
Uma Boa Ação,2021,Junho,07
Diário de uma Paixão,2021,Junho,09
Simplesmente Complicado,2021,Junho,10
De Repente Grávida,2021,Junho,15
Querido John,2021,Junho,16
Evereste,2021,Junho,17
Tudo Que Quero,2021,Junho,18
Decisões Extremas,2021,Junho,21
Um Amor Verdadeiro,2021,Junho,22
A Corrente do Bem,2021,Junho,23
O Shaolin do Sertão,2021,Junho,24
Bilhete de Loteria,2021,Junho,25
Coincidências do Amor,2021,Junho,28
Um Presente Para Helen,2021,Junho,29
Mamãe Saiu de Férias,2021,Junho,30
Os Goonies,2021,Julho,01
Toy Story 2,2021,Julho,05
Sai de Baixo: O Filme,2021,Julho,07
Matilda,2021,Julho,08
Príncipe da Pérsia: As Areias do Tempo,2021,Julho,09
Malasartes e o Duelo com a Morte,2021,Julho,12
Segurança de Shopping 2,2021,Julho,13
Meu Monstro de Estimação,2021,Julho,14
Como Treinar o Seu Dragão,2021,Julho,16
O Sétimo Filho,2021,Julho,19
Encantada,2021,Julho,20
Uma Razão Para Vencer,2021,Julho,21
Space Jam: O Jogo do Século,2021,Julho,22
Vitórias de uma Vida,2021,Julho,23
Kung Fu Panda 2,2021,Julho,26
Uma Aventura e Tanto,2021,Julho,27
Um Tio Quase Perfeito,2021,Julho,28
Gremlins,2021,Julho,29
O Terno de Dois Bilhões de Dólares,2021,Julho,30
Duas de Mim,2021,Agosto,02
Castelos de Gelo,2021,Agosto,03
Como Se Fosse a Primeira Vez,2021,Agosto,04
Karatê Kid II: A Hora da Verdade Continua,2021,Agosto,05
De Repente Pai,2021,Agosto,06
Te Amarei para Sempre,2021,Agosto,09
MIB: Homens de Preto 3,2021,Agosto,10
A Culpa é das Estrelas,2021,Agosto,11
A Máscara do Zorro,2021,Agosto,12
Coração de Tinta: O Livro Mágico,2021,Agosto,13
O Que de Verdade Importa,2021,Agosto,16
O Amor Não Tira Férias,2021,Agosto,17
Somos Todos Iguais,2021,Agosto,18
Sob o Mesmo Céu,2021,Agosto,19
Sonhos de Papel,2021,Agosto,20
Shrek 2,2021,Agosto,23
As Loucuras de Dick e Jane,2021,Agosto,24
Stardust: O Mistério da Estrela,2021,Agosto,25
Um Amor de Vizinha,2021,Agosto,26
Plano B,2021,Agosto,27
Miss Simpatia,2021,Agosto,30
À Prova de Fogo,2021,Agosto,31
Um Amor à Altura,2021,Setembro,01
Bem-Vindo à Vida,2021,Setembro,02
À Procura do Amor,2021,Setembro,03
Nossa Vida com Cães,2021,Setembro,06
Cegonhas: A História Que Não Te Contaram,2021,Setembro,07
Os Estagiários,2021,Setembro,08
O Que Te Faz Mais Forte,2021,Setembro,09
Cine Holliúdy 2: A Chibata Sideral,2021,Setembro,10
Um Tira no Jardim de Infância 2,2021,Setembro,13
Joy: O Nome do Sucesso,2021,Setembro,14
Como Não Esquecer Essa Garota,2021,Setembro,15
Roubo nas Alturas,2021,Setembro,16
A Seleção,2021,Setembro,17
Agente 86,2021,Setembro,21
O Livro do Amor,2021,Setembro,22
Sim Senhor,2021,Setembro,23
Alice Através do Espelho,2021,Setembro,24
Um Senhor Estagiário,2021,Setembro,27
O Túnel,2021,Setembro,28
Portal dos Guerreiros,2021,Setembro,29
Divórcio,2021,Setembro,30
Somos Marshall,2021,Outubro,01
As Branquelas,2021,Outubro,04
Cartas Para Deus,2021,Outubro,05
Meninas Malvadas,2021,Outubro,06
Megan Leavey,2021,Outubro,07
Fora do Rumo,2021,Outubro,08
O Diário da Princesa,2021,Outubro,11
Shrek Para Sempre,2021,Outubro,12
Cavalo de Guerra,2021,Outubro,13
Cidades de Papel,2021,Outubro,14
A Luta Por um Ideal,2021,Outubro,15
Insubstituível,2021,Outubro,18
De Repente 30,2021,Outubro,19
"Eu, Robô",2021,Outubro,20
Um Dia,2021,Outubro,21
Casamento Grego 2,2021,Outubro,22
Uma Prova de Amor,2021,Outubro,25
Muito Bem Acompanhada,2021,Outubro,26
A Última Palavra,2021,Outubro,27
Romeu e Julieta,2021,Outubro,28
Super Escola de Heróis,2021,Outubro,29
Como Treinar o Seu Dragão 2,2021,Novembro,01
O Bom Gigante Amigo,2021,Novembro,02
Arthur: O Milionário Irresistível,2021,Novembro,03
Incondicional,2021,Novembro,04
